model,term_norm,R AER::ivreg,R lm,R plm,Stata,linearmodels,statsmodels,systemgmmkit
2SLS,L1_y,1.0229562365048,,,1.0229563,1.022956236504805,,1.0229562365048053
2SLS,const,0.0613915083321933,,,0.061391506,0.0613915083321927,,0.0613915083321916
2SLS,x_exog,0.249586985712353,,,0.24958698,0.2495869857123527,,0.249586985712353
2SLS,x_pred,-0.508034572178654,,,-0.50803459,-0.5080345721786508,,-0.5080345721786573
Fixed Effects,L1_y,,,0.537849975992194,0.53784996,0.5378499759921932,,0.5378499759921932
Fixed Effects,x_exog,,,0.219075881122308,0.21907587,0.2190758811223078,,0.2190758811223078
Fixed Effects,x_pred,,,0.348587955543139,0.34858796,0.3485879555431388,,0.3485879555431388
OLS,L1_y,,0.967551611584065,,0.96755159,,0.9675516115840656,0.9675516115840662
OLS,const,,0.114799704676456,,0.11479971,,0.1147997046764553,0.1147997046764556
OLS,x_exog,,0.231979107826893,,0.2319791,,0.2319791078268933,0.2319791078268938
OLS,x_pred,,0.23614395314742,,0.23614395,,0.2361439531474201,0.23614395314742
Pooled OLS,L1_y,,,0.967551611584065,0.96755159,0.9675516115840652,,0.9675516115840662
Pooled OLS,const,,,0.114799704676456,0.11479971,0.1147997046764556,,0.1147997046764556
Pooled OLS,x_exog,,,0.231979107826893,0.2319791,0.2319791078268932,,0.2319791078268938
Pooled OLS,x_pred,,,0.23614395314742,0.23614395,0.2361439531474201,,0.23614395314742
Random Effects,L1_y,,,0.967551611584065,0.96755159,0.9675516115840652,,0.9675516115840662
Random Effects,const,,,0.114799704676456,0.11479971,0.1147997046764556,,0.1147997046764556
Random Effects,x_exog,,,0.231979107826893,0.2319791,0.2319791078268932,,0.2319791078268938
Random Effects,x_pred,,,0.23614395314742,0.23614395,0.2361439531474201,,0.23614395314742
