model,reference,comparison_software,common_terms,reference_only_terms,comparison_only_terms,max_abs_coef_diff,max_abs_se_diff,status
OLS,systemgmmkit,R lm,4,0,0,1.2212453270876722e-15,1.0061396160665481e-16,PASS_NUMERIC
OLS,systemgmmkit,Stata,4,0,0,2.1584066201008056e-08,4.014391007112206e-10,PASS_COEFFICIENTS
OLS,systemgmmkit,statsmodels,4,0,0,6.661338147750939e-16,0.0,PASS_NUMERIC
Pooled OLS,systemgmmkit,R plm,4,0,0,1.2212453270876722e-15,1.0061396160665481e-16,PASS_NUMERIC
Pooled OLS,systemgmmkit,Stata,4,0,0,2.1584066201008056e-08,4.014391007112206e-10,PASS_COEFFICIENTS
Pooled OLS,systemgmmkit,linearmodels,4,0,0,9.992007221626409e-16,0.0,PASS_NUMERIC
Fixed Effects,systemgmmkit,R plm,3,0,0,7.771561172376096e-16,1.0061396160665481e-16,PASS_NUMERIC
Fixed Effects,systemgmmkit,Stata,3,0,0,1.599219323633605e-08,1.1443115968678974e-09,PASS_COEFFICIENTS
Fixed Effects,systemgmmkit,linearmodels,3,0,0,0.0,0.0,PASS_NUMERIC
Random Effects,systemgmmkit,R plm,4,0,0,1.2212453270876722e-15,0.0006577757626592996,PASS_COEFFICIENTS
Random Effects,systemgmmkit,Stata,4,0,0,2.1584066201008056e-08,0.0006577754709835987,PASS_COEFFICIENTS
Random Effects,systemgmmkit,linearmodels,4,0,0,9.992007221626409e-16,0.000657775762659199,PASS_COEFFICIENTS
2SLS,systemgmmkit,R AER::ivreg,4,0,0,5.329070518200751e-15,3.0531133177191805e-16,PASS_NUMERIC
2SLS,systemgmmkit,Stata,4,0,0,6.349519465764786e-08,0.00038033606472531734,PASS_COEFFICIENTS
2SLS,systemgmmkit,linearmodels,4,0,0,6.5503158452884236e-15,0.0003803409480150066,PASS_COEFFICIENTS
