name,kind,signature,module
DynamicGMMHybridSearch,class,"(*, y: 'str', entity: 'str', time: 'str', regressors: 'Sequence[str] | None' = None, controls: 'Sequence[str] | None' = None, endogenous: 'Sequence[str] | None' = None, predetermined: 'Sequence[str] | None' = None, exogenous: 'Sequence[str] | None' = None, lagged_dependent: 'int | None' = 1, lagged_dependent_role: 'str' = 'endogenous', param_grid: 'Iterable[Mapping[str, Any]] | None' = None, models: 'Sequence[str]' = ('system', 'difference'), steps: 'Sequence[str]' = ('twostep', 'onestep'), lag_windows: 'Sequence[LagWindow]' = ((2, 2), (2, 3), (2, 4), (3, 4)), transformations: 'Sequence[str]' = ('fod', 'fd'), collapse_options: 'Sequence[bool]' = (True,), windmeijer_options: 'Sequence[bool | None]' = (None,), time_effects_options: 'Sequence[bool]' = (False,), backend_options: 'Sequence[str]' = ('auto',), extra_grid: 'Mapping[str, Sequence[Any]] | None' = None, selection_metric: 'str' = 'rmse', minimize: 'bool' = True, test_size: 'float | int' = 0.2, diagnostic_rules: 'dict[str, DiagnosticRule] | None' = None, validity_rules: 'GMMValidityRules | None' = None, ranking_weights: 'GMMRankingWeights | None' = None, predict_kwargs: 'Mapping[str, Any] | None' = None, model_options: 'Mapping[str, Any] | None' = None) -> 'None'",systemgmmkit.ml.gmm_search
ForecastSummary,class,"(forecast: 'pd.DataFrame', metrics: 'dict[str, float]' = <factory>, backtest: 'pd.DataFrame | None' = None, errors: 'dict[str, str]' = <factory>) -> None",systemgmmkit.ml.easy
GMMGridSearch,class,"(*, build_spec: 'Callable[..., Any]', run_model: 'Callable[..., Any]', param_grid: 'Iterable[dict[str, Any]]', y: 'str', entity: 'str', time: 'str', selection_metric: 'str' = 'rmse', minimize: 'bool' = True, test_size: 'float | int' = 0.2, diagnostic_rules: 'dict[str, DiagnosticRule] | None' = None, validity_rules: 'GMMValidityRules | None' = None, ranking_weights: 'GMMRankingWeights | None' = None, predict_kwargs: 'Mapping[str, Any] | None' = None) -> 'None'",systemgmmkit.ml.gmm_search
GMMRankingWeights,class,"(prediction: 'float' = 1.0, instruments: 'float' = 0.2, hansen: 'float' = 0.15, ar2: 'float' = 0.1) -> None",systemgmmkit.ml.gmm_search
GMMSearchResult,class,"(results: 'pd.DataFrame', best_result: 'Any | None', best_spec: 'dict[str, Any] | None', best_row: 'dict[str, Any] | None' = None, selection_metric: 'str' = 'rmse', report: 'str' = '') -> None",systemgmmkit.ml.gmm_search
GMMValidityRules,class,"(min_hansen_p: 'float | None' = 0.05, max_hansen_p: 'float | None' = 0.99, min_ar2_p: 'float | None' = 0.05, max_instrument_ratio: 'float | None' = 1.0, max_instruments: 'int | None' = None, require_hansen: 'bool' = True, require_ar2: 'bool' = True, require_convergence: 'bool' = True, convergence_keys: 'tuple[str, ...]' = ('converged', 'succeeded', 'success')) -> None",systemgmmkit.ml.gmm_search
MLWorkflowSummary,class,"(postestimation: 'PostEstimationSummary', forecast: 'ForecastSummary | None' = None) -> None",systemgmmkit.ml.easy
PanelTimeSeriesSplit,class,"(n_splits: 'int' = 5, min_train_periods: 'int | None' = None, test_periods: 'int' = 1) -> None",systemgmmkit.ml.split
PostEstimationSummary,class,"(predictions: 'pd.Series | None' = None, fitted: 'pd.Series | None' = None, residuals: 'pd.Series | None' = None, metrics: 'dict[str, float]' = <factory>, confidence_intervals: 'pd.DataFrame | None' = None, marginal_effects: 'pd.DataFrame | None' = None, linear_combinations: 'pd.DataFrame | None' = None, wald_tests: 'pd.DataFrame | None' = None, covariance: 'pd.DataFrame | None' = None, diagnostics: 'dict[str, Any]' = <factory>, errors: 'dict[str, str]' = <factory>) -> None",systemgmmkit.ml.easy
ResultAdapter,class,(result: 'Any') -> None,systemgmmkit.ml.adapter
adapt_result,function,(result: 'Any') -> 'ResultAdapter',systemgmmkit.ml.adapter
auto_dynamic_gmm,function,"(data: 'pd.DataFrame', *, y: 'str', entity: 'str', time: 'str', regressors: 'Sequence[str] | None' = None, controls: 'Sequence[str] | None' = None, endogenous: 'Sequence[str] | None' = None, predetermined: 'Sequence[str] | None' = None, exogenous: 'Sequence[str] | None' = None, lagged_dependent: 'int | None' = 1, lagged_dependent_role: 'str' = 'endogenous', param_grid: 'Iterable[Mapping[str, Any]] | None' = None, test_size: 'float | int' = 0.2, validity_rules: 'GMMValidityRules | None' = None, ranking_weights: 'GMMRankingWeights | None' = None, predict_kwargs: 'Mapping[str, Any] | None' = None, model_options: 'Mapping[str, Any] | None' = None, **search_options: 'Any') -> 'GMMSearchResult'",systemgmmkit.ml.gmm_search
backtest_forecast,function,"(*, result_factory: 'Callable[..., Any]', data: 'pd.DataFrame', y: 'str', entity: 'str', time: 'str', horizon: 'int' = 1, min_train_periods: 'int | None' = None, cutoffs: 'Iterable[Any] | None' = None, max_cutoffs: 'int | None' = None, fit_kwargs: 'dict[str, Any] | None' = None, forecast_kwargs: 'dict[str, Any] | None' = None, strict: 'bool' = True) -> 'pd.DataFrame'",systemgmmkit.ml.backtest
compare_models,function,"(models: 'Mapping[str, Any] | Iterable[tuple[str, Any]]', data: 'pd.DataFrame', *, y: 'str', sort_by: 'str | None' = 'rmse', ascending: 'bool' = True, include_diagnostics: 'bool' = True, predict_kwargs: 'dict[str, Any] | None' = None, raise_on_error: 'bool' = False) -> 'pd.DataFrame'",systemgmmkit.ml.compare
cross_validate_panel,function,"(*, estimator: 'Callable[..., Any]', data: 'pd.DataFrame', y: 'str', time: 'str', cv: 'PanelTimeSeriesSplit | None' = None, fit_kwargs: 'dict[str, Any] | None' = None, predict_kwargs: 'dict[str, Any] | None' = None) -> 'pd.DataFrame'",systemgmmkit.ml.validation
dynamic_gmm_candidate_grid,function,"(*, models: 'Sequence[str]' = ('system', 'difference'), steps: 'Sequence[str]' = ('twostep', 'onestep'), lag_windows: 'Sequence[LagWindow]' = ((2, 2), (2, 3), (2, 4), (3, 4)), transformations: 'Sequence[str]' = ('fod', 'fd'), collapse_options: 'Sequence[bool]' = (True,), windmeijer_options: 'Sequence[bool | None]' = (None,), time_effects_options: 'Sequence[bool]' = (False,), backend_options: 'Sequence[str]' = ('auto',), extra_grid: 'Mapping[str, Sequence[Any]] | None' = None, skip_invalid: 'bool' = True) -> 'list[dict[str, Any]]'",systemgmmkit.ml.gmm_search
fitted_values,function,"(result: 'Any', data: 'pd.DataFrame | None' = None, *, add_constant: 'bool' = True, strict: 'bool' = True) -> 'pd.Series'",systemgmmkit.ml.prediction
forecast,function,"(result: 'Any', history: 'pd.DataFrame', *, y: 'str', entity: 'str', time: 'str', horizon: 'int' = 1, future_exog: 'pd.DataFrame | None' = None, time_step: 'Any | None' = None, strict: 'bool' = True) -> 'pd.DataFrame'",systemgmmkit.ml.forecast
panel_train_test_split,function,"(data: 'pd.DataFrame', *, time: 'str', test_size: 'float | int' = 0.2) -> 'tuple[pd.DataFrame, pd.DataFrame]'",systemgmmkit.ml.split
