layer,check,function,status,message,value
ml,adapt_result,adapt_result,OK,adapt_result(result),"{""type"": ""ResultAdapter"", ""repr"": ""ResultAdapter(result=LinearModelResult(spec=OLSSpec(dependent='y', regressors=['L1_y', 'x_pred', 'x_exog'], controls=[], add_constant=True, covariance='nonrobust', cluster=None, name='ols'), params=_con      0.114800\nL1_y      0.967552\nx_pred    0.236144\nx_exog    0.231979\nName: coef, dtype: float64...""}"
ml,predict,predict,OK,"predict(result, data)","{""type"": ""Series"", ""shape"": [1080], ""repr"": ""1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: prediction, Length: 1080, dtype: float64""}"
ml,fitted_values,fitted_values,OK,fitted_values(result),"{""type"": ""Series"", ""shape"": [1080], ""repr"": ""1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: fitted, Length: 1080, dtype: float64""}"
ml,residuals,residuals,OK,residuals(result),"{""type"": ""Series"", ""shape"": [1080], ""repr"": ""1      -1.148181\n2      -0.584772\n3      -1.043928\n4      -0.446392\n5      -0.276862\n          ...   \n1195    0.071942\n1196    0.253253\n1197    0.106905\n1198   -0.402199\n1199   -0.272630\nName: residual, Length: 1080, dtype: float64""}"
ml,regression_metrics,regression_metrics,ERROR,TypeError: 'method' object is not iterable,
ml,panel_train_test_split,panel_train_test_split,ERROR,TypeError: panel_train_test_split() got an unexpected keyword argument 'entity',
ml,PanelTimeSeriesSplit,PanelTimeSeriesSplit,DISCOVERED,"(n_splits: 'int' = 5, min_train_periods: 'int | None' = None, test_periods: 'int' = 1) -> None",
ml,cross_validate_panel,cross_validate_panel,DISCOVERED,"(*, estimator: 'Callable[..., Any]', data: 'pd.DataFrame', y: 'str', time: 'str', cv: 'PanelTimeSeriesSplit | None' = None, fit_kwargs: 'dict[str, Any] | None' = None, predict_kwargs: 'dict[str, Any] | None' = None) -> 'pd.DataFrame'",
ml,compare_models,compare_models,DISCOVERED,"(models: 'Mapping[str, Any] | Iterable[tuple[str, Any]]', data: 'pd.DataFrame', *, y: 'str', sort_by: 'str | None' = 'rmse', ascending: 'bool' = True, include_diagnostics: 'bool' = True, predict_kwargs: 'dict[str, Any] | None' = None, raise_on_error: 'bool' = False) -> 'pd.DataFrame'",
ml,forecast,forecast,DISCOVERED,"(result: 'Any', history: 'pd.DataFrame', *, y: 'str', entity: 'str', time: 'str', horizon: 'int' = 1, future_exog: 'pd.DataFrame | None' = None, time_step: 'Any | None' = None, strict: 'bool' = True) -> 'pd.DataFrame'",
ml,backtest_forecast,backtest_forecast,DISCOVERED,"(*, result_factory: 'Callable[..., Any]', data: 'pd.DataFrame', y: 'str', entity: 'str', time: 'str', horizon: 'int' = 1, min_train_periods: 'int | None' = None, cutoffs: 'Iterable[Any] | None' = None, max_cutoffs: 'int | None' = None, fit_kwargs: 'dict[str, Any] | None' = None, forecast_kwargs: 'dict[str, Any] | None' = None, strict: 'bool' = True) -> 'pd.DataFrame'",
ml,backtest_fore,backtest_fore,NOT_AVAILABLE,backtest_fore not exposed,
