"FullName","Length","LastWriteTime"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\00_systemgmmkit_0511_api_snapshot.csv","5033","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\01_ncmapss_model_panel_summary.csv","187","7/5/2026 8:15:30 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\02_ncmapss_dynamic_ols_results.csv","3394","7/5/2026 8:15:30 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\03_ncmapss_dynamic_ols_fit_summary.csv","173","7/5/2026 8:15:30 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\04_ncmapss_holdout_metrics.csv","259","7/5/2026 8:15:31 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\05_ncmapss_statistical_model_specification.json","988","7/5/2026 8:15:30 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\10_systemgmmkit_ncmapss_smoke_dataset_summary.json","609","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\11_systemgmmkit_ncmapss_smoke_status.csv","194","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_ncmapss_manual_publication_table.csv","646","7/5/2026 8:43:40 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_ncmapss_manual_publication_table.md","1839","7/5/2026 8:43:40 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_ncmapss_manual_publication_table.tex","888","7/5/2026 8:43:40 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_ncmapss_universal_output_table.csv","432","7/5/2026 8:33:13 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_ncmapss_universal_output_table.md","2044","7/5/2026 8:33:13 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_ncmapss_universal_output_table.tex","717","7/5/2026 8:33:13 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_universal_output_generation_log.json","1018","7/5/2026 8:43:40 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_uoh_outreg_results.md","3906","7/5/2026 8:43:40 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\20_uoh_outreg_results.tex","1157","7/5/2026 8:43:40 AM"
