name,available,signature
run_ols,True,"(spec: 'OLSSpec', data: 'pd.DataFrame', entity: 'str | None' = None, time: 'str | None' = None) -> 'LinearModelResult'"
run_pooled_ols,True,"(spec: 'PooledOLSSpec', data: 'pd.DataFrame', entity: 'str | None' = None, time: 'str | None' = None) -> 'LinearModelResult'"
run_fixed_effects,True,"(spec: 'FixedEffectsSpec', data: 'pd.DataFrame', *, entity: 'str', time: 'str', prefer_backend: ""Literal['native', 'linearmodels']"" = 'native') -> 'Any'"
run_random_effects,True,"(spec: 'RandomEffectsSpec', data: 'pd.DataFrame', *, entity: 'str', time: 'str') -> 'RandomEffectsResult'"
run_difference_gmm,True,"(spec: 'Any', data: 'pd.DataFrame', *, entity: 'str', time: 'str', backend: 'DynamicGMMBackend' = 'auto', windmeijer: 'bool | None' = None) -> 'Any'"
run_system_gmm,True,"(spec: 'Any', data: 'pd.DataFrame', *, entity: 'str', time: 'str', backend: 'DynamicGMMBackend' = 'auto', windmeijer: 'bool | None' = None) -> 'Any'"
difference_gmm,True,"(*, data: 'pd.DataFrame', entity: 'str', time: 'str', dependent: 'str', regressors: 'Optional[Sequence[str]]' = None, controls: 'Optional[Sequence[str]]' = None, endogenous: 'Optional[Sequence[str]]' = None, predetermined: 'Optional[Sequence[str]]' = None, exogenous: 'Optional[Sequence[str]]' = None, lagged_dependent: 'Optional[int]' = 1, lagged_dependent_role: 'str' = 'endogenous', gmm_lags: 'LagWindow' = (2, 2), gmm_lags_by_role: 'Optional[LagMap]' = None, gmm_lags_by_variable: 'Optional[LagMap]' = None, collapse: 'bool' = True, backend: 'str' = 'auto', windmeijer: 'Optional[bool]' = None, time_effects: 'bool' = False, drop_missing: 'bool' = True, return_workflow: 'bool' = False, **spec_options: 'Any') -> 'Any'"
system_gmm,True,"(*, data: 'pd.DataFrame', entity: 'str', time: 'str', dependent: 'str', regressors: 'Optional[Sequence[str]]' = None, controls: 'Optional[Sequence[str]]' = None, endogenous: 'Optional[Sequence[str]]' = None, predetermined: 'Optional[Sequence[str]]' = None, exogenous: 'Optional[Sequence[str]]' = None, lagged_dependent: 'Optional[int]' = 1, lagged_dependent_role: 'str' = 'endogenous', gmm_lags: 'LagWindow' = (2, 2), gmm_lags_by_role: 'Optional[LagMap]' = None, gmm_lags_by_variable: 'Optional[LagMap]' = None, collapse: 'bool' = True, backend: 'str' = 'auto', windmeijer: 'Optional[bool]' = True, time_effects: 'bool' = False, drop_missing: 'bool' = True, return_workflow: 'bool' = False, **spec_options: 'Any') -> 'Any'"
build_difference_gmm_spec,True,(**kwargs: 'object') -> 'DynamicPanelSpec'
build_system_gmm_spec,True,(**kwargs: 'object') -> 'DynamicPanelSpec'
predict,True,"(result: 'Any', data: 'Any | None' = None, **kwargs: 'Any') -> 'Any'"
fitted_values,True,"(result: 'Any', **kwargs: 'Any') -> 'Any'"
residuals,True,(result: 'Any') -> 'Any'
confint,True,"(result: 'Any', alpha: 'float' = 0.05, *, level: 'float | None' = None) -> 'pd.DataFrame'"
lincom,True,"(result: 'Any', expression: 'Mapping[str, float] | Sequence[float] | str | None' = None, *, weights: 'Mapping[str, float] | Sequence[float] | str | None' = None, value: 'float' = 0.0, alpha: 'float' = 0.05, level: 'float | None' = None, **kwargs: 'Any') -> 'dict[str, float]'"
wald_test,True,"(result: 'Any', R: 'Sequence[Sequence[float]] | Sequence[float] | Sequence[str] | str | None' = None, q: 'Sequence[float] | float | None' = None, *, variables: 'Sequence[str] | None' = None, constraints: 'Sequence[Sequence[float]] | Sequence[float] | Sequence[str] | str | None' = None, alpha: 'float' = 0.05, **kwargs: 'Any') -> 'dict[str, float]'"
margins,True,"(result: 'Any', dydx: 'Sequence[str] | str | None' = None, *, variables: 'Sequence[str] | None' = None, alpha: 'float' = 0.05, level: 'float | None' = None, **kwargs: 'Any') -> 'pd.DataFrame'"
quick_ml,True,"(result: 'Any', data: 'pd.DataFrame', *, y: 'str', entity: 'str | None' = None, time: 'str | None' = None, horizon: 'int | None' = None, future_exog: 'pd.DataFrame | None' = None, postestimation_kwargs: 'Mapping[str, Any] | None' = None, forecast_kwargs: 'Mapping[str, Any] | None' = None) -> 'MLWorkflowSummary'"
quick_postestimation,True,"(result: 'Any', data: 'pd.DataFrame | None' = None, *, y: 'str | None' = None, alpha: 'float' = 0.05, variables: 'Sequence[str] | None' = None, lincoms: 'Mapping[str, Any] | Sequence[str] | str | None' = None, wald_tests: 'Mapping[str, Any] | Sequence[str] | str | None' = None, include_intervals: 'bool' = True, include_effects: 'bool' = True, include_vcov: 'bool' = False, strict: 'bool' = True, raise_on_error: 'bool' = False) -> 'PostEstimationSummary'"
quick_forecast,True,"(result: 'Any', history: 'pd.DataFrame', *, y: 'str', entity: 'str', time: 'str', horizon: 'int' = 1, future_exog: 'pd.DataFrame | None' = None, actuals: 'pd.DataFrame | None' = None, result_factory: 'Any | None' = None, backtest: 'bool' = False, backtest_kwargs: 'Mapping[str, Any] | None' = None, forecast_kwargs: 'Mapping[str, Any] | None' = None, strict: 'bool' = True, raise_on_error: 'bool' = False) -> 'ForecastSummary'"
