model,term,coefficient,std_error,t_value,p_value
Static OLS,const,0.5405610030838549,0.008430598860244158,64.11893295421243,0.0
Static OLS,z_degradation_index,0.6698537414030805,0.10555853158558329,6.345803899895914,2.2126693948516082e-10
Static OLS,z_sensor_mean_z,0.6698537414030922,0.10555853158565151,6.345803899891924,2.21266939490897e-10
Static OLS,z_pc2,0.3328895796331946,0.06137252237273029,5.424081767594218,5.825321288757198e-08
Static OLS,z_op_setting1,-0.6561934434167398,0.5495841562794562,-1.1939817331325582,0.23248511360799898
Static OLS,z_op_setting2,0.9812333389445715,0.17745749693917723,5.529399184982784,3.213293999851069e-08
Static OLS,z_op_setting3,-2.7094827577052176,0.1416201168878763,-19.132047178370666,1.366029293310163e-81
Static OLS,z_op_setting4,-3.545721012065388,0.4072793484028247,-8.70586988014538,3.1514823475331206e-18
Dynamic OLS,const,0.5405610030838549,4.16086053820305e-17,1.2991567444298598e+16,0.0
Dynamic OLS,z_L1_risk,0.27224796761762143,5.787553222938703e-17,4704025295846594.0,0.0
Dynamic OLS,z_degradation_index,3.590724548642549e-16,5.400872446572727e-16,0.6648415759052304,0.506151827319214
Dynamic OLS,z_sensor_mean_z,3.8451928303308776e-16,5.400872446576144e-16,0.7119577194918791,0.47649095817106163
Dynamic OLS,z_pc2,5.912041586156121e-16,3.1105647980704296e-16,1.9006328335688507,0.05735012176471536
Dynamic OLS,z_op_setting1,1.252677987433605e-15,2.7160171585825e-15,0.4612187310655219,0.6446416843861253
Dynamic OLS,z_op_setting2,-1.7347073463603035e-16,9.003261791360566e-16,-0.1926754310337738,0.8472131660900744
Dynamic OLS,z_op_setting3,7.802993354209646e-19,9.05707663379378e-16,0.0008615355340038862,0.9993125941838723
Dynamic OLS,z_op_setting4,5.996395824371369e-16,2.14677685650993e-15,0.279320871481718,0.7799985903361278
Dynamic FE,const,0.5405610030838547,9.444249051897597e-16,572370550705926.0,0.0
Dynamic FE,z_L1_risk,0.2722479676176218,3.041927756440419e-16,894984987862430.4,0.0
Dynamic FE,z_degradation_index,2.152196697768893e-16,7.190340787304624e-15,0.029931775995497244,0.9761214636170976
Dynamic FE,z_pc2,1.218517135827206e-15,1.5715767192221808e-15,0.775346899023985,0.4381347035610487
Dynamic FE,z_op_setting1,-1.2722375539800006e-16,8.515163244638101e-15,-0.014940847490870051,0.9880793719682022
Dynamic FE,z_op_setting2,3.523871853016276e-16,4.640907599368543e-15,0.07593066178468508,0.9394742626913613
Dynamic FE,z_op_setting3,-3.0095162987275246e-17,5.352275040699326e-15,-0.00562287303220184,0.9955136200610194
Dynamic FE,z_op_setting4,-6.225241724200976e-17,1.3218392747603826e-14,-0.004709530003433633,0.9962423526121925
