model,term,comparison_software,systemgmmkit_coef,comparison_coef,coef_diff,abs_coef_diff,systemgmmkit_se,comparison_se,se_diff,abs_se_diff
Difference GMM,L1_y,Stata xtabond2,0.7113802428597236,0.733183220972359,-0.02180297811263543,0.02180297811263543,0.2649486704351936,0.3111350374421719,-0.04618636700697831,0.04618636700697831
Difference GMM,x_pred,Stata xtabond2,0.265652910481588,0.2486761463195476,0.016976764162040414,0.016976764162040414,0.2231645590310391,0.2546396861718789,-0.031475127140839776,0.031475127140839776
Difference GMM,x_exog,Stata xtabond2,0.2509995927449737,0.2535230964039004,-0.002523503658926729,0.002523503658926729,0.0447060622863673,0.0519268014604792,-0.007220739174111895,0.007220739174111895
Difference GMM,L1_y,pydynpd,0.7113802428597236,0.7121708579598346,-0.0007906151001110251,0.0007906151001110251,0.2649486704351936,0.2104743675317692,0.05447430290342439,0.05447430290342439
Difference GMM,x_pred,pydynpd,0.265652910481588,0.3165164228385906,-0.050863512357002594,0.050863512357002594,0.2231645590310391,0.1556921429778363,0.06747241605320281,0.06747241605320281
Difference GMM,x_exog,pydynpd,0.2509995927449737,0.255128990660971,-0.004129397915997313,0.004129397915997313,0.0447060622863673,0.0412421263289765,0.0034639359573908,0.0034639359573908
Difference GMM,L1_y,plm::pgmm,0.7113802428597236,0.711988928297237,-0.0006086854375134676,0.0006086854375134676,0.2649486704351936,0.226993127200633,0.0379555432345606,0.0379555432345606
Difference GMM,x_pred,plm::pgmm,0.265652910481588,0.316246358912628,-0.05059344843103997,0.05059344843103997,0.2231645590310391,0.165331489112228,0.0578330699188111,0.0578330699188111
Difference GMM,x_exog,plm::pgmm,0.2509995927449737,0.249023851532029,0.0019757412129446927,0.0019757412129446927,0.0447060622863673,0.0288339551039319,0.015872107182435403,0.015872107182435403
System GMM,L1_y,Stata xtabond2,0.9292107947791666,0.929210792468204,2.310962532448002e-09,2.310962532448002e-09,0.0422932373139422,0.0422930627627494,1.7455119280529452e-07,1.7455119280529452e-07
System GMM,x_pred,Stata xtabond2,0.0558768452171638,0.0558768701385088,-2.4921344994599526e-08,2.4921344994599526e-08,0.1379065668473367,0.1379059953120166,5.715353200985707e-07,5.715353200985707e-07
System GMM,x_exog,Stata xtabond2,0.2423543285116905,0.2423543265525582,1.9591323008327777e-09,1.9591323008327777e-09,0.0196909929503262,0.0196909117074162,8.124291000013995e-08,8.124291000013995e-08
System GMM,const,Stata xtabond2,0.1294962306498237,0.1294962326408661,-1.991042386517705e-09,1.991042386517705e-09,0.0350865806550682,0.0350864364304821,1.4422458610025002e-07,1.4422458610025002e-07
System GMM,L1_y,pydynpd,0.9292107947791666,0.9008371856140148,0.028373609165151747,0.028373609165151747,0.0422932373139422,0.026845739305997,0.015447498007945204,0.015447498007945204
System GMM,x_pred,pydynpd,0.0558768452171638,0.1204363660778187,-0.06455952086065489,0.06455952086065489,0.1379065668473367,0.1001450249908532,0.037761541856483505,0.037761541856483505
System GMM,x_exog,pydynpd,0.2423543285116905,0.2731091634308979,-0.030754834919207413,0.030754834919207413,0.0196909929503262,0.0201395301019276,-0.0004485371516014004,0.0004485371516014004
System GMM,const,pydynpd,0.1294962306498237,0.1454472781383439,-0.015951047488520192,0.015951047488520192,0.0350865806550682,0.0339086911495406,0.0011778895055276004,0.0011778895055276004
System GMM,L1_y,plm::pgmm,0.9292107947791666,0.916724686003887,0.012486108775279559,0.012486108775279559,0.0422932373139422,0.0277509868000896,0.014542250513852602,0.014542250513852602
System GMM,x_pred,plm::pgmm,0.0558768452171638,0.198238233748844,-0.1423613885316802,0.1423613885316802,0.1379065668473367,0.0929676486782417,0.04493891816909501,0.04493891816909501
System GMM,x_exog,plm::pgmm,0.2423543285116905,0.282099343245239,-0.039745014733548495,0.039745014733548495,0.0196909929503262,0.027736701546502,-0.008045708596175798,0.008045708596175798
