check,status,message,value,result_source
vcov,OK,DataFrame,"{""type"": ""DataFrame"", ""shape"": [4, 4]}",statsmodels OLS generic-result object
confint,OK,DataFrame,"{""type"": ""DataFrame"", ""shape"": [4, 2]}",statsmodels OLS generic-result object
predict,OK,Series,"{""type"": ""Series"", ""shape"": [1080]}",statsmodels OLS generic-result object
fitted_values,OK,Series,"{""type"": ""Series"", ""shape"": [1080]}",statsmodels OLS generic-result object
residuals,OK,Series,"{""type"": ""Series"", ""shape"": [1080]}",statsmodels OLS generic-result object
lincom_x_pred_plus_x_exog,OK,dict,"{""type"": ""dict"", ""repr"": ""{'estimate': 0.4681230609743134, 'std_error': 0.0287733078175488, 'statistic': 16.26935157899384, 'z': nan, 't': 16.26935157899384, 'p_value': 2.231668677192347e-53, 'ci_low': 0.41166490684447105, 'ci_high': 0.5245812151041557, 'value': 0.0, 'alpha':""}",statsmodels OLS generic-result object
wald_test_x_pred_zero,OK,dict,"{""type"": ""dict"", ""repr"": ""{'statistic': 116.4616065449649, 'chi2': 116.4616065449649, 'f': 116.4616065449649, 'F': 116.4616065449649, 'df': 1.0, 'df_constraints': 1.0, 'df_denom': 1076.0, 'df_resid': 1076.0, 'p_value': 7.504644987694432e-26, 'alpha': 0.05, 'distribution': 'F'""}",statsmodels OLS generic-result object
marginal_effects,OK,DataFrame,"{""type"": ""DataFrame"", ""shape"": [3, 11]}",statsmodels OLS generic-result object
fitted_plus_residual_equals_y,PASS,,"{""max_identity_error"": 0.0}",statsmodels OLS generic-result object
sqrt_diag_vcov_equals_std_error,PASS,,"{""max_se_error"": 0.0}",statsmodels OLS generic-result object
