model,software_ref,language_ref,term_ref,term_norm,coefficient_ref,std_error_ref,p_value_ref,source_ref,status_ref,error_ref,traceback_ref,software_other,language_other,term_other,coefficient_other,std_error_other,p_value_other,source_other,status_other,error_other,traceback_other,_merge,comparison_group
OLS,statsmodels,Python,L1_y,L1_y,0.9675516115840657,0.010642602401439155,0.0,sm.OLS,OK,,,systemgmmkit,Python,L1_y,0.9675516115840662,0.010642602401439159,0.0,systemgmmkit.OLSSpec + systemgmmkit.run_ols,OK,,,both,OLS: systemgmmkit vs statsmodels
OLS,statsmodels,Python,const,const,0.11479970467645531,0.02021697486203604,1.7484291659687434e-08,sm.OLS,OK,,,systemgmmkit,Python,_con,0.11479970467645566,0.020216974862036056,1.7484291659686167e-08,systemgmmkit.OLSSpec + systemgmmkit.run_ols,OK,,,both,OLS: systemgmmkit vs statsmodels
OLS,statsmodels,Python,x_exog,x_exog,0.2319791078268933,0.019086465291675677,6.077660559498901e-32,sm.OLS,OK,,,systemgmmkit,Python,x_exog,0.23197910782689385,0.019086465291675663,6.077660559496371e-32,systemgmmkit.OLSSpec + systemgmmkit.run_ols,OK,,,both,OLS: systemgmmkit vs statsmodels
OLS,statsmodels,Python,x_pred,x_pred,0.2361439531474201,0.02188192075251314,7.504644987694331e-26,sm.OLS,OK,,,systemgmmkit,Python,x_pred,0.23614395314742007,0.021881920752513148,7.50464498769473e-26,systemgmmkit.OLSSpec + systemgmmkit.run_ols,OK,,,both,OLS: systemgmmkit vs statsmodels
Pooled OLS,linearmodels,Python,L1_y,L1_y,0.9675516115840653,0.010642602401439157,0.0,PooledOLS,OK,,,systemgmmkit,Python,L1_y,0.9675516115840662,0.010642602401439159,0.0,systemgmmkit.PooledOLSSpec + systemgmmkit.run_pooled_ols,OK,,,both,Pooled OLS: systemgmmkit vs linearmodels
Pooled OLS,linearmodels,Python,const,const,0.11479970467645564,0.02021697486203606,1.748429157011344e-08,PooledOLS,OK,,,systemgmmkit,Python,_con,0.11479970467645566,0.020216974862036056,1.7484291659686167e-08,systemgmmkit.PooledOLSSpec + systemgmmkit.run_pooled_ols,OK,,,both,Pooled OLS: systemgmmkit vs linearmodels
Pooled OLS,linearmodels,Python,x_exog,x_exog,0.23197910782689327,0.01908646529167567,0.0,PooledOLS,OK,,,systemgmmkit,Python,x_exog,0.23197910782689385,0.019086465291675663,6.077660559496371e-32,systemgmmkit.PooledOLSSpec + systemgmmkit.run_pooled_ols,OK,,,both,Pooled OLS: systemgmmkit vs linearmodels
Pooled OLS,linearmodels,Python,x_pred,x_pred,0.23614395314742018,0.021881920752513148,0.0,PooledOLS,OK,,,systemgmmkit,Python,x_pred,0.23614395314742007,0.021881920752513148,7.50464498769473e-26,systemgmmkit.PooledOLSSpec + systemgmmkit.run_pooled_ols,OK,,,both,Pooled OLS: systemgmmkit vs linearmodels
Fixed Effects,linearmodels,Python,L1_y,L1_y,0.537849975992193,0.019782141855688485,0.0,PanelOLS(entity_effects=True),OK,,,systemgmmkit,Python,L1_y,0.49469738486863024,0.01891551612707192,9.111912783725206e-151,systemgmmkit.FixedEffectsSpec + systemgmmkit.run_fixed_effects,OK,,,both,Fixed Effects: systemgmmkit vs linearmodels
Fixed Effects,linearmodels,Python,const,const,0.35975004844667396,0.01916421016931884,0.0,PanelOLS(entity_effects=True),OK,,,systemgmmkit,Python,const,-1.6831740029046245,0.07177573208133717,1.3076673976801517e-121,systemgmmkit.FixedEffectsSpec + systemgmmkit.run_fixed_effects,OK,,,both,Fixed Effects: systemgmmkit vs linearmodels
