software,language,model,term,term_norm,coefficient,std_error,p_value,status,source_file
statsmodels,Python,OLS,const,const,0.1147997046764553,0.020216974862036,1.7484291659687434e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
statsmodels,Python,OLS,L1_y,L1_y,0.9675516115840656,0.0106426024014391,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
statsmodels,Python,OLS,x_pred,x_pred,0.2361439531474201,0.0218819207525131,7.504644987694331e-26,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
statsmodels,Python,OLS,x_exog,x_exog,0.2319791078268933,0.0190864652916756,6.0776605594989e-32,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Pooled OLS,const,const,0.1147997046764556,0.020216974862036,1.748429157011344e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Pooled OLS,L1_y,L1_y,0.9675516115840652,0.0106426024014391,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Pooled OLS,x_pred,x_pred,0.2361439531474201,0.0218819207525131,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Pooled OLS,x_exog,x_exog,0.2319791078268932,0.0190864652916756,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Random Effects,const,const,0.1147997046764556,0.020216974862036,1.748429157011344e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Random Effects,L1_y,L1_y,0.9675516115840652,0.0106426024014391,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Random Effects,x_pred,x_pred,0.2361439531474201,0.0218819207525131,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Random Effects,x_exog,x_exog,0.2319791078268932,0.0190864652916756,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,OLS,_con,const,0.1147997046764556,0.020216974862036,1.748429165968617e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,OLS,L1_y,L1_y,0.9675516115840662,0.0106426024014391,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,OLS,x_pred,x_pred,0.23614395314742,0.0218819207525131,7.50464498769473e-26,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,OLS,x_exog,x_exog,0.2319791078268938,0.0190864652916756,6.07766055949637e-32,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Pooled OLS,_con,const,0.1147997046764556,0.020216974862036,1.748429165968617e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Pooled OLS,L1_y,L1_y,0.9675516115840662,0.0106426024014391,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Pooled OLS,x_pred,x_pred,0.23614395314742,0.0218819207525131,7.50464498769473e-26,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Pooled OLS,x_exog,x_exog,0.2319791078268938,0.0190864652916756,6.07766055949637e-32,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Random Effects,const,const,0.1147997046764556,0.0201129283596293,1.1447479295763992e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Random Effects,L1_y,L1_y,0.9675516115840662,0.0105025250397705,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Random Effects,x_pred,x_pred,0.23614395314742,0.0217518156341558,1.8616558067865145e-27,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
systemgmmkit,Python,Random Effects,x_exog,x_exog,0.2319791078268938,0.0184286895290164,2.4603196710474405e-36,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv
linearmodels,Python,Fixed Effects,L1_y,L1_y,0.5378499759921932,0.0197821418556884,,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_fixed_effects_diagnostic_long.csv
linearmodels,Python,Fixed Effects,x_pred,x_pred,0.3485879555431388,0.0203250967965136,,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_fixed_effects_diagnostic_long.csv
linearmodels,Python,Fixed Effects,x_exog,x_exog,0.2190758811223078,0.0163158480056925,,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_fixed_effects_diagnostic_long.csv
systemgmmkit,Python,Fixed Effects,L1_y,L1_y,0.5378499759921932,0.0197821418556884,,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_fixed_effects_diagnostic_long.csv
systemgmmkit,Python,Fixed Effects,x_pred,x_pred,0.3485879555431388,0.0203250967965136,,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_fixed_effects_diagnostic_long.csv
systemgmmkit,Python,Fixed Effects,x_exog,x_exog,0.2190758811223078,0.0163158480056925,,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_fixed_effects_diagnostic_long.csv
linearmodels,Python,2SLS,const,const,0.0613915083321927,0.0335145090417215,0.0669828657030575,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_linearmodels_results.csv
linearmodels,Python,2SLS,L1_y,L1_y,1.022956236504805,0.021408574571889,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_linearmodels_results.csv
linearmodels,Python,2SLS,x_exog,x_exog,0.2495869857123527,0.0289198024284756,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_linearmodels_results.csv
linearmodels,Python,2SLS,x_pred,x_pred,-0.5080345721786508,0.1819929451167103,0.0052463230018888,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_linearmodels_results.csv
systemgmmkit,Python,2SLS,const,const,0.0613915083321916,0.0335845498893654,0.0675542388843035,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv
systemgmmkit,Python,2SLS,L1_y,L1_y,1.0229562365048053,0.0214533156333796,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv
systemgmmkit,Python,2SLS,x_exog,x_exog,0.249586985712353,0.0289802409529744,7.159931207433567e-18,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv
systemgmmkit,Python,2SLS,x_pred,x_pred,-0.5080345721786573,0.1823732860647253,0.0053414709891321,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv
R lm,R,OLS,(Intercept),const,0.114799704676456,0.0202169748620361,1.74842916596835e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_ols_results.csv
R lm,R,OLS,L1_y,L1_y,0.967551611584065,0.0106426024014392,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_ols_results.csv
R lm,R,OLS,x_pred,x_pred,0.23614395314742,0.0218819207525132,7.504644987693659e-26,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_ols_results.csv
R lm,R,OLS,x_exog,x_exog,0.231979107826893,0.0190864652916757,6.0776605594986e-32,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_ols_results.csv
R plm,R,Pooled OLS,(Intercept),const,0.114799704676456,0.0202169748620361,1.74842916596835e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_pooled_ols_results.csv
R plm,R,Pooled OLS,L1_y,L1_y,0.967551611584065,0.0106426024014392,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_pooled_ols_results.csv
R plm,R,Pooled OLS,x_pred,x_pred,0.23614395314742,0.0218819207525132,7.504644987693659e-26,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_pooled_ols_results.csv
R plm,R,Pooled OLS,x_exog,x_exog,0.231979107826893,0.0190864652916757,6.0776605594986e-32,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_pooled_ols_results.csv
R plm,R,Fixed Effects,L1_y,L1_y,0.537849975992194,0.0197821418556885,4.46547238291727e-121,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_fe_results.csv
R plm,R,Fixed Effects,x_pred,x_pred,0.348587955543139,0.0203250967965137,1.06944442228705e-57,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_fe_results.csv
R plm,R,Fixed Effects,x_exog,x_exog,0.219075881122308,0.0163158480056926,8.73111869433077e-38,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_fe_results.csv
R plm,R,Random Effects,(Intercept),const,0.114799704676456,0.0202169748620361,1.35974842548731e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_re_results.csv
R plm,R,Random Effects,L1_y,L1_y,0.967551611584065,0.0106426024014392,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_re_results.csv
R plm,R,Random Effects,x_pred,x_pred,0.23614395314742,0.0218819207525132,3.76599646782365e-27,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_re_results.csv
R plm,R,Random Effects,x_exog,x_exog,0.231979107826893,0.0190864652916757,5.45488184807189e-34,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_re_results.csv
R AER::ivreg,R,2SLS,(Intercept),const,0.0613915083321933,0.0335845498893653,0.0678657672822093,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_2sls_results.csv
R AER::ivreg,R,2SLS,L1_y,L1_y,1.0229562365048,0.0214533156333796,5.8834125036291e-255,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_2sls_results.csv
R AER::ivreg,R,2SLS,x_exog,x_exog,0.249586985712353,0.0289802409529744,2.91939703060457e-17,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_2sls_results.csv
R AER::ivreg,R,2SLS,x_pred,x_pred,-0.508034572178654,0.182373286064725,0.0054471063196862,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_r_2sls_results.csv
Stata,Stata,OLS,L1_y,L1_y,0.96755159,0.010642602,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_ols_results.csv
Stata,Stata,OLS,x_pred,x_pred,0.23614395,0.021881921,3.76601e-27,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_ols_results.csv
Stata,Stata,OLS,x_exog,x_exog,0.2319791,0.019086465,5.4548847e-34,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_ols_results.csv
Stata,Stata,OLS,_cons,const,0.11479971,0.020216975,1.3597485e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_ols_results.csv
Stata,Stata,Pooled OLS,L1_y,L1_y,0.96755159,0.010642602,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv
Stata,Stata,Pooled OLS,x_pred,x_pred,0.23614395,0.021881921,3.76601e-27,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv
Stata,Stata,Pooled OLS,x_exog,x_exog,0.2319791,0.019086465,5.4548847e-34,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv
Stata,Stata,Pooled OLS,_cons,const,0.11479971,0.020216975,1.3597485e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv
Stata,Stata,Fixed Effects,L1_y,L1_y,0.53784996,0.019782143,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_fe_results.csv
Stata,Stata,Fixed Effects,x_pred,x_pred,0.34858796,0.020325096,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_fe_results.csv
Stata,Stata,Fixed Effects,x_exog,x_exog,0.21907587,0.016315848,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_fe_results.csv
Stata,Stata,Random Effects,L1_y,L1_y,0.96755159,0.010642602,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_re_results.csv
Stata,Stata,Random Effects,x_pred,x_pred,0.23614395,0.021881921,3.76601e-27,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_re_results.csv
Stata,Stata,Random Effects,x_exog,x_exog,0.2319791,0.019086465,5.4548847e-34,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_re_results.csv
Stata,Stata,Random Effects,_cons,const,0.11479971,0.020216975,1.3597485e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_re_results.csv
Stata,Stata,2SLS,x_pred,x_pred,-0.50803459,0.18199295,0.0052463221,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv
Stata,Stata,2SLS,L1_y,L1_y,1.0229563,0.021408575,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv
Stata,Stata,2SLS,x_exog,x_exog,0.24958698,0.028919803,6.1183840999999995e-18,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv
Stata,Stata,2SLS,_cons,const,0.061391506,0.033514511,0.066982895,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv
