model,term_norm,R AER::ivreg,R lm,R plm,Stata,linearmodels,statsmodels,systemgmmkit
2SLS,L1_y,0.0214533156333796,,,0.021408575,0.021408574571889,,0.0214533156333796
2SLS,const,0.0335845498893653,,,0.033514511,0.0335145090417215,,0.0335845498893654
2SLS,x_exog,0.0289802409529744,,,0.028919803,0.0289198024284756,,0.0289802409529744
2SLS,x_pred,0.182373286064725,,,0.18199295,0.1819929451167103,,0.1823732860647253
Fixed Effects,L1_y,,,0.0197821418556885,0.019782143,0.0197821418556884,,0.0197821418556884
Fixed Effects,x_exog,,,0.0163158480056926,0.016315848,0.0163158480056925,,0.0163158480056925
Fixed Effects,x_pred,,,0.0203250967965137,0.020325096,0.0203250967965136,,0.0203250967965136
OLS,L1_y,,0.0106426024014392,,0.010642602,,0.0106426024014391,0.0106426024014391
OLS,const,,0.0202169748620361,,0.020216975,,0.020216974862036,0.020216974862036
OLS,x_exog,,0.0190864652916757,,0.019086465,,0.0190864652916756,0.0190864652916756
OLS,x_pred,,0.0218819207525132,,0.021881921,,0.0218819207525131,0.0218819207525131
Pooled OLS,L1_y,,,0.0106426024014392,0.010642602,0.0106426024014391,,0.0106426024014391
Pooled OLS,const,,,0.0202169748620361,0.020216975,0.020216974862036,,0.020216974862036
Pooled OLS,x_exog,,,0.0190864652916757,0.019086465,0.0190864652916756,,0.0190864652916756
Pooled OLS,x_pred,,,0.0218819207525132,0.021881921,0.0218819207525131,,0.0218819207525131
Random Effects,L1_y,,,0.0106426024014392,0.010642602,0.0106426024014391,,0.0105025250397705
Random Effects,const,,,0.0202169748620361,0.020216975,0.020216974862036,,0.0201129283596293
Random Effects,x_exog,,,0.0190864652916757,0.019086465,0.0190864652916756,,0.0184286895290164
Random Effects,x_pred,,,0.0218819207525132,0.021881921,0.0218819207525131,,0.0217518156341558
