layer,check,function,status,message,value
ml,adapt_result,adapt_result,OK,adapt_result(result),"{""type"": ""ResultAdapter"", ""repr"": ""ResultAdapter(result=LinearModelResult(spec=OLSSpec(dependent='y', regressors=['L1_y', 'x_pred', 'x_exog'], controls=[], add_constant=True, covariance='nonrobust', cluster=None, name='ols'), params=_con      0.114800\nL1_y      0.967552\nx_pred    0.236144\nx_exog    0.231979\nName: coef, dtype: float64, covariance=            _con      L1_y    x_pred    x_exog\n_con    0.000409 -0.000065  0.000033 -0.000006\nL1_y   -0.000065  0.000113 -0.000041  0.000002\nx_pred  0.000033 -0.000041  0.000479 -0.000008""}"
ml,predict,predict,OK,"predict(result, data)","{""type"": ""Series"", ""shape"": [1080], ""repr"": ""1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: prediction, Length: 1080, dtype: float64""}"
ml,fitted_values,fitted_values,OK,"fitted_values(result, data)","{""type"": ""Series"", ""shape"": [1080], ""repr"": ""1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: fitted, Length: 1080, dtype: float64""}"
ml,residuals,residuals,OK,"residuals(result, data, y='y')","{""type"": ""Series"", ""shape"": [1080], ""repr"": ""1      -1.148181\n2      -0.584772\n3      -1.043928\n4      -0.446392\n5      -0.276862\n          ...   \n1195    0.071942\n1196    0.253253\n1197    0.106905\n1198   -0.402199\n1199   -0.272630\nName: residual, Length: 1080, dtype: float64""}"
ml,regression_metrics,regression_metrics,OK,"regression_metrics(y_true, y_pred)","{""type"": ""dict"", ""keys"": [""n"", ""mae"", ""mse"", ""rmse"", ""mape"", ""smape"", ""r2""], ""repr"": ""{'n': 1080.0, 'mae': 0.5090460031371793, 'mse': 0.39962874443849195, 'rmse': 0.6321619606070046, 'mape': 170.3134232031385, 'smape': 59.96757929969182, 'r2': 0.8947282918989495}""}"
ml,panel_train_test_split,panel_train_test_split,OK,"panel_train_test_split(data, time='time', test_size=0.2)","{""type"": ""tuple"", ""repr"": ""(       id  time         y    x_pred    x_exog  alpha_true  eps_true      L1_y\n1       1     2 -1.755370 -0.579779 -0.320668   -1.504305  0.262324 -0.527816\n2       1     3 -1.958671  0.605906  0.287233   -1.504305  0.137213 -1.755370\n3       1     4 -3.097370 -1.312659  0.158851   -1.504305 -0.216078 -1.958671\n4       1     5 -3.907853 -0.460770 -2.028578   -1.504305 -0.181580 -3.097370\n5       1     6 -3.933652 -0.146491  0.189900   -1.504305 -0.456231 -3.907853\n...   ...   ...       ...      ""}"
ml,quick_postestimation,quick_postestimation,OK,"quick_postestimation(... lincoms, wald_tests, marginal effects ...)","{""type"": ""PostEstimationSummary"", ""repr"": ""PostEstimationSummary(predictions=1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: prediction, Length: 1080, dtype: float64, fitted=1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: fitted, Length: 1080, dtype: fl""}"
ml,quick_ml,quick_ml,OK,"quick_ml(result, data, y, entity, time)","{""type"": ""MLWorkflowSummary"", ""repr"": ""MLWorkflowSummary(postestimation=PostEstimationSummary(predictions=1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName: prediction, Length: 1080, dtype: float64, fitted=1      -0.607189\n2      -1.373898\n3      -2.053442\n4      -3.461461\n5      -3.656790\n          ...   \n1195   -0.646359\n1196   -0.192820\n1197    0.766915\n1198    0.794967\n1199    0.660348\nName""}"
ml,PanelTimeSeriesSplit,PanelTimeSeriesSplit,DISCOVERED,<class 'systemgmmkit.ml.split.PanelTimeSeriesSplit'>,
ml,cross_validate_panel,cross_validate_panel,DISCOVERED,<function cross_validate_panel at 0x000001C8FE6BD380>,
ml,compare_models,compare_models,DISCOVERED,<function compare_models at 0x000001C8FE6761F0>,
ml,forecast,forecast,DISCOVERED,<function forecast at 0x000001C8FE675170>,
ml,quick_forecast,quick_forecast,DISCOVERED,<function quick_forecast at 0x000001C8FE677E20>,
ml,backtest_forecast,backtest_forecast,DISCOVERED,<function backtest_forecast at 0x000001C8FE6756F0>,
ml,dynamic_gmm_candidate_grid,dynamic_gmm_candidate_grid,DISCOVERED,<function dynamic_gmm_candidate_grid at 0x000001C8FE699850>,
ml,GMMGridSearch,GMMGridSearch,DISCOVERED,<class 'systemgmmkit.ml.gmm_search.GMMGridSearch'>,
ml,DynamicGMMHybridSearch,DynamicGMMHybridSearch,DISCOVERED,<class 'systemgmmkit.ml.gmm_search.DynamicGMMHybridSearch'>,
ml,auto_dynamic_gmm,auto_dynamic_gmm,DISCOVERED,<function auto_dynamic_gmm at 0x000001C8FE69BA00>,
