id,t,y,x,z
1,1,2.83,1.3,0.55
1,2,3.7704999999999997,1.5,0.55
1,3,4.399675,1.7000000000000002,0.55
1,4,4.919886249999999,1.9000000000000001,0.55
1,5,5.4019601875,2.1,0.55
1,6,5.870686065625,2.3000000000000003,0.55
1,7,6.334740122968751,2.5000000000000004,0.55
1,8,6.797159043039064,2.7,0.55
1,9,7.259005665063672,2.9,0.55
1,10,7.720651982772285,3.1,0.55
2,1,3.3099999999999996,1.4,0.6
2,2,4.0685,1.5999999999999999,0.6
2,3,4.6339749999999995,1.8,0.6
2,4,5.13189125,2.0,0.6
2,5,5.6061619375000005,2.2,0.6
2,6,6.072156678125,2.4000000000000004,0.6
2,7,6.53525483734375,2.6000000000000005,0.6
2,8,6.997339193070312,2.8000000000000003,0.6
2,9,7.459068717574609,3.0,0.6
2,10,7.920674051151114,3.2,0.6
3,1,3.79,1.5,0.65
3,2,4.3665,1.7,0.65
3,3,4.868275,1.9000000000000001,0.65
3,4,5.34389625,2.1,0.65
3,5,5.8103636875,2.3,0.65
3,6,6.273627290625,2.5,0.65
3,7,6.73576955171875,2.7,0.65
3,8,7.197519343101563,2.9000000000000004,0.65
3,9,7.659131770085546,3.0999999999999996,0.65
3,10,8.12069611952994,3.3,0.65
4,1,4.2700000000000005,1.6,0.7
4,2,4.6645,1.7999999999999998,0.7
4,3,5.102575,2.0,0.7
4,4,5.555901250000001,2.2,0.7
4,5,6.0145654375,2.4,0.7
4,6,6.475097903125,2.6,0.7
4,7,6.93628426609375,2.8000000000000003,0.7
4,8,7.397699493132812,3.0,0.7
4,9,7.859194822596484,3.1999999999999997,0.7
4,10,8.320718187908769,3.4,0.7
5,1,4.75,1.7,0.75
5,2,4.9624999999999995,1.9,0.75
5,3,5.336875,2.1,0.75
5,4,5.767906249999999,2.3,0.75
5,5,6.218767187499999,2.5,0.75
5,6,6.676568515625,2.7,0.75
5,7,7.13679898046875,2.9000000000000004,0.75
5,8,7.597879643164063,3.1,0.75
5,9,8.059257875107422,3.3,0.75
5,10,8.520740256287597,3.5,0.75
6,1,5.2299999999999995,1.8,0.8
6,2,5.2604999999999995,2.0,0.8
6,3,5.571175,2.2,0.8
6,4,5.979911250000001,2.4000000000000004,0.8
6,5,6.4229689375,2.6,0.8
6,6,6.878039128125,2.8000000000000003,0.8
6,7,7.3373136948437505,3.0000000000000004,0.8
6,8,7.798059793195312,3.2,0.8
6,9,8.259320927618358,3.4,0.8
6,10,8.720762324666424,3.6,0.8
