model,param,native_coef,native_std_err
m_base,L1.y,0.5486581070812222,0.03433155686327443
m_base,x,1.4878025516685645,0.2961326066362367
m_base,w,-0.3845204342315638,0.025824145330106654
m_base,_con,0.059953039259224794,0.08500110109337185
m_role,L1.y,0.5421664306770236,0.027180920701780575
m_role,x,1.3035935136885568,0.18345720232360857
m_role,w,-0.47221170558504677,0.2038315586584444
m_role,_con,0.06453961287521667,0.08045866679308197
m_var,L1.y,0.5410850814916692,0.026231056610779076
m_var,x,1.1556391266930914,0.18322074588216758
m_var,w,-0.3516987918119067,0.23173421794840804
m_var,_con,0.06309727225191905,0.08115619160105565
