entity,time,equation,original_index,error_terms
0,2,diff,2,"{2: 1.0, 1: -1.0}"
0,3,diff,3,"{3: 1.0, 2: -1.0}"
0,4,diff,4,"{4: 1.0, 3: -1.0}"
0,5,diff,5,"{5: 1.0, 4: -1.0}"
0,6,diff,6,"{6: 1.0, 5: -1.0}"
0,7,diff,7,"{7: 1.0, 6: -1.0}"
0,8,diff,8,"{8: 1.0, 7: -1.0}"
0,9,diff,9,"{9: 1.0, 8: -1.0}"
0,10,diff,10,"{10: 1.0, 9: -1.0}"
0,11,diff,11,"{11: 1.0, 10: -1.0}"
0,12,diff,12,"{12: 1.0, 11: -1.0}"
0,13,diff,13,"{13: 1.0, 12: -1.0}"
0,1,level,1,{1: 1.0}
0,2,level,2,{2: 1.0}
0,3,level,3,{3: 1.0}
0,4,level,4,{4: 1.0}
0,5,level,5,{5: 1.0}
0,6,level,6,{6: 1.0}
0,7,level,7,{7: 1.0}
0,8,level,8,{8: 1.0}
0,9,level,9,{9: 1.0}
0,10,level,10,{10: 1.0}
0,11,level,11,{11: 1.0}
0,12,level,12,{12: 1.0}
0,13,level,13,{13: 1.0}
1,2,diff,16,"{2: 1.0, 1: -1.0}"
1,3,diff,17,"{3: 1.0, 2: -1.0}"
1,4,diff,18,"{4: 1.0, 3: -1.0}"
1,5,diff,19,"{5: 1.0, 4: -1.0}"
1,6,diff,20,"{6: 1.0, 5: -1.0}"
1,7,diff,21,"{7: 1.0, 6: -1.0}"
1,8,diff,22,"{8: 1.0, 7: -1.0}"
1,9,diff,23,"{9: 1.0, 8: -1.0}"
1,10,diff,24,"{10: 1.0, 9: -1.0}"
1,11,diff,25,"{11: 1.0, 10: -1.0}"
1,12,diff,26,"{12: 1.0, 11: -1.0}"
1,13,diff,27,"{13: 1.0, 12: -1.0}"
1,1,level,15,{1: 1.0}
1,2,level,16,{2: 1.0}
1,3,level,17,{3: 1.0}
1,4,level,18,{4: 1.0}
1,5,level,19,{5: 1.0}
1,6,level,20,{6: 1.0}
1,7,level,21,{7: 1.0}
1,8,level,22,{8: 1.0}
1,9,level,23,{9: 1.0}
1,10,level,24,{10: 1.0}
1,11,level,25,{11: 1.0}
1,12,level,26,{12: 1.0}
1,13,level,27,{13: 1.0}
2,2,diff,30,"{2: 1.0, 1: -1.0}"
2,3,diff,31,"{3: 1.0, 2: -1.0}"
2,4,diff,32,"{4: 1.0, 3: -1.0}"
2,5,diff,33,"{5: 1.0, 4: -1.0}"
2,6,diff,34,"{6: 1.0, 5: -1.0}"
2,7,diff,35,"{7: 1.0, 6: -1.0}"
2,8,diff,36,"{8: 1.0, 7: -1.0}"
2,9,diff,37,"{9: 1.0, 8: -1.0}"
2,10,diff,38,"{10: 1.0, 9: -1.0}"
2,11,diff,39,"{11: 1.0, 10: -1.0}"
2,12,diff,40,"{12: 1.0, 11: -1.0}"
2,13,diff,41,"{13: 1.0, 12: -1.0}"
2,1,level,29,{1: 1.0}
2,2,level,30,{2: 1.0}
2,3,level,31,{3: 1.0}
2,4,level,32,{4: 1.0}
2,5,level,33,{5: 1.0}
2,6,level,34,{6: 1.0}
2,7,level,35,{7: 1.0}
2,8,level,36,{8: 1.0}
2,9,level,37,{9: 1.0}
2,10,level,38,{10: 1.0}
2,11,level,39,{11: 1.0}
2,12,level,40,{12: 1.0}
2,13,level,41,{13: 1.0}
3,2,diff,44,"{2: 1.0, 1: -1.0}"
3,3,diff,45,"{3: 1.0, 2: -1.0}"
3,4,diff,46,"{4: 1.0, 3: -1.0}"
3,5,diff,47,"{5: 1.0, 4: -1.0}"
3,6,diff,48,"{6: 1.0, 5: -1.0}"
3,7,diff,49,"{7: 1.0, 6: -1.0}"
3,8,diff,50,"{8: 1.0, 7: -1.0}"
3,9,diff,51,"{9: 1.0, 8: -1.0}"
3,10,diff,52,"{10: 1.0, 9: -1.0}"
3,11,diff,53,"{11: 1.0, 10: -1.0}"
3,12,diff,54,"{12: 1.0, 11: -1.0}"
3,13,diff,55,"{13: 1.0, 12: -1.0}"
3,1,level,43,{1: 1.0}
3,2,level,44,{2: 1.0}
3,3,level,45,{3: 1.0}
3,4,level,46,{4: 1.0}
3,5,level,47,{5: 1.0}
3,6,level,48,{6: 1.0}
3,7,level,49,{7: 1.0}
3,8,level,50,{8: 1.0}
3,9,level,51,{9: 1.0}
3,10,level,52,{10: 1.0}
3,11,level,53,{11: 1.0}
3,12,level,54,{12: 1.0}
3,13,level,55,{13: 1.0}
4,2,diff,58,"{2: 1.0, 1: -1.0}"
4,3,diff,59,"{3: 1.0, 2: -1.0}"
4,4,diff,60,"{4: 1.0, 3: -1.0}"
4,5,diff,61,"{5: 1.0, 4: -1.0}"
4,6,diff,62,"{6: 1.0, 5: -1.0}"
4,7,diff,63,"{7: 1.0, 6: -1.0}"
4,8,diff,64,"{8: 1.0, 7: -1.0}"
4,9,diff,65,"{9: 1.0, 8: -1.0}"
4,10,diff,66,"{10: 1.0, 9: -1.0}"
4,11,diff,67,"{11: 1.0, 10: -1.0}"
4,12,diff,68,"{12: 1.0, 11: -1.0}"
4,13,diff,69,"{13: 1.0, 12: -1.0}"
4,1,level,57,{1: 1.0}
4,2,level,58,{2: 1.0}
4,3,level,59,{3: 1.0}
4,4,level,60,{4: 1.0}
4,5,level,61,{5: 1.0}
4,6,level,62,{6: 1.0}
4,7,level,63,{7: 1.0}
4,8,level,64,{8: 1.0}
4,9,level,65,{9: 1.0}
4,10,level,66,{10: 1.0}
4,11,level,67,{11: 1.0}
4,12,level,68,{12: 1.0}
4,13,level,69,{13: 1.0}
5,2,diff,72,"{2: 1.0, 1: -1.0}"
5,3,diff,73,"{3: 1.0, 2: -1.0}"
5,4,diff,74,"{4: 1.0, 3: -1.0}"
5,5,diff,75,"{5: 1.0, 4: -1.0}"
5,6,diff,76,"{6: 1.0, 5: -1.0}"
5,7,diff,77,"{7: 1.0, 6: -1.0}"
5,8,diff,78,"{8: 1.0, 7: -1.0}"
5,9,diff,79,"{9: 1.0, 8: -1.0}"
5,10,diff,80,"{10: 1.0, 9: -1.0}"
5,11,diff,81,"{11: 1.0, 10: -1.0}"
5,12,diff,82,"{12: 1.0, 11: -1.0}"
