alpha,spec,max_abs_coef_diff,max_abs_se_diff,mean_abs_se_diff
0.00,fod_diff_endog_x_onestep,6.23288636258934e-08,0.0024735778150202,0.000948032206408
0.25,fod_diff_endog_x_onestep,6.23288636258934e-08,0.0024735778150202,0.000948032206408
0.50,fod_diff_endog_x_onestep,6.23288636258934e-08,0.0024735778150202,0.000948032206408
0.75,fod_diff_endog_x_onestep,6.23288636258934e-08,0.0024735778150202,0.000948032206408
1.00,fod_diff_endog_x_onestep,6.23288636258934e-08,0.0024735778150202,0.000948032206408
1.25,fod_diff_endog_x_onestep,6.23288636258934e-08,0.0024735778150202,0.000948032206408
0.00,fod_diff_endog_x_twostep,1.181902105074073e-07,0.0734502215545226,0.0327859907364505
0.25,fod_diff_endog_x_twostep,1.181902105074073e-07,0.046824237988893,0.0213494202616793
0.50,fod_diff_endog_x_twostep,1.181902105074073e-07,0.0199514369151763,0.0097416938259556
0.75,fod_diff_endog_x_twostep,1.181902105074073e-07,0.0071295967642145,0.0040611037491735
1.00,fod_diff_endog_x_twostep,1.181902105074073e-07,0.0343877045856397,0.0138437174562676
1.25,fod_diff_endog_x_twostep,1.181902105074073e-07,0.0617974986937296,0.0257746828340632
0.00,fod_diff_predet_x_onestep,4.692983779364113e-09,0.0001002560547273,8.969069342526619e-05
0.25,fod_diff_predet_x_onestep,4.692983779364113e-09,0.0001002560547273,8.969069342526619e-05
0.50,fod_diff_predet_x_onestep,4.692983779364113e-09,0.0001002560547273,8.969069342526619e-05
0.75,fod_diff_predet_x_onestep,4.692983779364113e-09,0.0001002560547273,8.969069342526619e-05
1.00,fod_diff_predet_x_onestep,4.692983779364113e-09,0.0001002560547273,8.969069342526619e-05
1.25,fod_diff_predet_x_onestep,4.692983779364113e-09,0.0001002560547273,8.969069342526619e-05
0.00,fod_diff_predet_x_twostep,4.507376027973464e-09,0.0021986308605802,0.0017125606870398
0.25,fod_diff_predet_x_twostep,4.507376027973464e-09,0.0016325456429044,0.0012677659207004
0.50,fod_diff_predet_x_twostep,4.507376027973464e-09,0.0010659722486012,0.0008218706730007
0.75,fod_diff_predet_x_twostep,4.507376027973464e-09,0.0004989565220119,0.0003749567829605
1.00,fod_diff_predet_x_twostep,4.507376027973464e-09,0.0001203354101089,7.290186172223313e-05
1.25,fod_diff_predet_x_twostep,4.507376027973464e-09,0.0006362454256269,0.0005216383664403
