model,term,coefficient,std_error,t_value,p_value
systemgmmkit_run_ols_spec,const,0.5405610030838549,4.16086053820305e-17,1.2991567444298598e+16,0.0
systemgmmkit_run_ols_spec,z_L1_risk,0.2722479676176214,5.787553222938703e-17,4704025295846594.0,0.0
systemgmmkit_run_ols_spec,z_degradation_index,3.590724548642549e-16,5.400872446572727e-16,0.6648415759052304,0.5061518273192138
systemgmmkit_run_ols_spec,z_sensor_mean_z,3.8451928303308776e-16,5.400872446576144e-16,0.7119577194918791,0.4764909581710614
systemgmmkit_run_ols_spec,z_pc2,5.912041586156121e-16,3.1105647980704296e-16,1.9006328335688507,0.0573501217647154
systemgmmkit_run_ols_spec,z_op_setting1,1.252677987433605e-15,2.7160171585825002e-15,0.4612187310655219,0.6446416843861253
systemgmmkit_run_ols_spec,z_op_setting2,-1.7347073463603035e-16,9.003261791360566e-16,-0.1926754310337738,0.8472131660900744
systemgmmkit_run_ols_spec,z_op_setting3,7.8029933542096465e-19,9.05707663379378e-16,0.0008615355340038,0.9993125941838724
systemgmmkit_run_ols_spec,z_op_setting4,5.9963958243713695e-16,2.14677685650993e-15,0.279320871481718,0.779998590336128
systemgmmkit_run_pooled_ols_spec,const,0.5405610030838549,4.16086053820305e-17,1.2991567444298598e+16,0.0
systemgmmkit_run_pooled_ols_spec,z_L1_risk,0.2722479676176214,5.787553222938703e-17,4704025295846594.0,0.0
systemgmmkit_run_pooled_ols_spec,z_degradation_index,3.590724548642549e-16,5.400872446572727e-16,0.6648415759052304,0.5061518273192138
systemgmmkit_run_pooled_ols_spec,z_sensor_mean_z,3.8451928303308776e-16,5.400872446576144e-16,0.7119577194918791,0.4764909581710614
systemgmmkit_run_pooled_ols_spec,z_pc2,5.912041586156121e-16,3.1105647980704296e-16,1.9006328335688507,0.0573501217647154
systemgmmkit_run_pooled_ols_spec,z_op_setting1,1.252677987433605e-15,2.7160171585825002e-15,0.4612187310655219,0.6446416843861253
systemgmmkit_run_pooled_ols_spec,z_op_setting2,-1.7347073463603035e-16,9.003261791360566e-16,-0.1926754310337738,0.8472131660900744
systemgmmkit_run_pooled_ols_spec,z_op_setting3,7.8029933542096465e-19,9.05707663379378e-16,0.0008615355340038,0.9993125941838724
systemgmmkit_run_pooled_ols_spec,z_op_setting4,5.9963958243713695e-16,2.14677685650993e-15,0.279320871481718,0.779998590336128
systemgmmkit_run_fixed_effects_spec,const,0.5405610030838547,9.444249051897597e-16,572370550705926.0,0.0
systemgmmkit_run_fixed_effects_spec,z_L1_risk,0.2722479676176218,3.0419277564404193e-16,894984987862430.4,0.0
systemgmmkit_run_fixed_effects_spec,z_degradation_index,2.1521966977688931e-16,7.190340787304624e-15,0.0299317759954972,0.9761214636170976
systemgmmkit_run_fixed_effects_spec,z_pc2,1.218517135827206e-15,1.5715767192221808e-15,0.775346899023985,0.4381347035610488
systemgmmkit_run_fixed_effects_spec,z_op_setting1,-1.2722375539800006e-16,8.515163244638101e-15,-0.01494084749087,0.9880793719682022
systemgmmkit_run_fixed_effects_spec,z_op_setting2,3.5238718530162763e-16,4.640907599368543e-15,0.075930661784685,0.9394742626913613
systemgmmkit_run_fixed_effects_spec,z_op_setting3,-3.009516298727525e-17,5.3522750406993256e-15,-0.0056228730322018,0.9955136200610196
systemgmmkit_run_fixed_effects_spec,z_op_setting4,-6.225241724200976e-17,1.3218392747603826e-14,-0.0047095300034336,0.9962423526121926
