candidate_id,n_components,feature_design,min_samples_leaf,max_features,fold_1_rmse,fold_2_rmse,fold_3_rmse,mean_rmse,max_rmse,mean_pca_variance,selected
1,2,current,2,0.8,0.25931410658957094,0.3058825203764484,0.3490923246087746,0.30476298385826467,0.3490923246087746,0.9949858583496128,False
2,2,current,2,1.0,0.2604472166354491,0.3042869219154409,0.34790266606590015,0.3042122682055967,0.34790266606590015,0.9949858583496128,False
3,2,current,4,0.8,0.2634526081007551,0.31590044587077565,0.354836501390888,0.3113965184541396,0.354836501390888,0.9949858583496128,False
4,2,current,4,1.0,0.26234593381623983,0.3113523604558365,0.3551807200634695,0.30962633811184864,0.3551807200634695,0.9949858583496128,False
5,2,current,8,0.8,0.26471810471802976,0.3179050272563037,0.3596348714510674,0.3140860011418003,0.3596348714510674,0.9949858583496128,False
6,2,current,8,1.0,0.26491665624133726,0.31975153440110404,0.360100880138905,0.3149230235937821,0.360100880138905,0.9949858583496128,False
7,2,dynamic,2,0.8,0.25475399766749335,0.3196800506591454,0.3597787663827283,0.31140427156978906,0.3597787663827283,0.9949858583496128,False
8,2,dynamic,2,1.0,0.254435111252111,0.31935255232551457,0.35720716042643474,0.31033160800135345,0.35720716042643474,0.9949858583496128,False
9,2,dynamic,4,0.8,0.25583273755254565,0.31970426377424205,0.3602466970471281,0.31192789945797195,0.3602466970471281,0.9949858583496128,False
10,2,dynamic,4,1.0,0.25604758387603516,0.3215609230696165,0.3591492809363918,0.31225259596068117,0.3591492809363918,0.9949858583496128,False
11,2,dynamic,8,0.8,0.2572340381236669,0.3217943328609362,0.3592948908893515,0.31277442062465155,0.3592948908893515,0.9949858583496128,False
12,2,dynamic,8,1.0,0.25581789049275055,0.3212754293887192,0.35684514300460146,0.3113128209620238,0.35684514300460146,0.9949858583496128,False
13,3,current,2,0.8,0.24587290250916907,0.27366246389888144,0.22559346728379914,0.24837627789728323,0.27366246389888144,0.9986351579407619,False
14,3,current,2,1.0,0.24783222792106802,0.273777532676867,0.21945127111718957,0.24702034390504155,0.273777532676867,0.9986351579407619,False
15,3,current,4,0.8,0.24905626575290582,0.28166601757213866,0.24542536415285515,0.2587158824926332,0.28166601757213866,0.9986351579407619,False
16,3,current,4,1.0,0.2507623176432602,0.278456599342231,0.23622233553303182,0.255147084172841,0.278456599342231,0.9986351579407619,False
17,3,current,8,0.8,0.25229558752304293,0.2873714350726872,0.25883206015571214,0.2661663609171474,0.2873714350726872,0.9986351579407619,False
18,3,current,8,1.0,0.2544068457868325,0.28559886257401357,0.2545574394328437,0.26485438259789656,0.28559886257401357,0.9986351579407619,False
19,3,dynamic,2,0.8,0.2380541603731029,0.2594643938890662,0.18943787496744327,0.2289854764098708,0.2594643938890662,0.9986351579407619,False
20,3,dynamic,2,1.0,0.23998483223266576,0.2563865027449548,0.19088927948885398,0.22908687148882487,0.2563865027449548,0.9986351579407619,False
21,3,dynamic,4,0.8,0.24478604297841816,0.25919842488055184,0.19370685539315663,0.23256377441737555,0.25919842488055184,0.9986351579407619,False
22,3,dynamic,4,1.0,0.24371645394072908,0.2600102841840042,0.19651859352228665,0.23341511054900663,0.2600102841840042,0.9986351579407619,False
23,3,dynamic,8,0.8,0.24508121255003507,0.26647503430420016,0.20572614597241762,0.23909413094221757,0.26647503430420016,0.9986351579407619,False
24,3,dynamic,8,1.0,0.24481419085799963,0.2655553522529491,0.2078462649021851,0.23940526933771125,0.2655553522529491,0.9986351579407619,False
25,4,current,2,0.8,0.24937954562709022,0.19206740987131793,0.08899434562207258,0.17681376704016025,0.24937954562709022,0.9992540957748791,False
26,4,current,2,1.0,0.24868935078203838,0.18915376455611063,0.08717049527374895,0.17500453687063267,0.24868935078203838,0.9992540957748791,False
27,4,current,4,0.8,0.2549342752759364,0.20254629335376076,0.09497415039456905,0.1841515730080887,0.2549342752759364,0.9992540957748791,False
28,4,current,4,1.0,0.25460250154138236,0.19828751962458835,0.09305757654188557,0.18198253256928543,0.25460250154138236,0.9992540957748791,False
29,4,current,8,0.8,0.2570717783339658,0.2215407979011904,0.11653253414916313,0.19838170346143977,0.2570717783339658,0.9992540957748791,False
30,4,current,8,1.0,0.25689286356628543,0.21835055496380526,0.1083676206779024,0.19453701306933102,0.25689286356628543,0.9992540957748791,False
31,4,dynamic,2,0.8,0.24828843043302687,0.1713311728709676,0.07832545968531839,0.1659816876631043,0.24828843043302687,0.9992540957748791,False
32,4,dynamic,2,1.0,0.2501976594492997,0.1677279302330416,0.07584128082221828,0.1645889568348532,0.2501976594492997,0.9992540957748791,False
33,4,dynamic,4,0.8,0.2483138172350691,0.1750525013770288,0.08152941279802105,0.1682985771367063,0.2483138172350691,0.9992540957748791,False
34,4,dynamic,4,1.0,0.24876913390875277,0.17215563239042478,0.08033311682504464,0.16708596104140738,0.24876913390875277,0.9992540957748791,False
35,4,dynamic,8,0.8,0.2508286729503194,0.19499312179850417,0.09104118178086924,0.17895432550989762,0.2508286729503194,0.9992540957748791,False
